album_date_extract;album_type;album_id;album_name;album_release_date;album_popularity;album_label;album_image;artist_id;artist_name;tracks;available_markets
2020-11-30;single;4o7KZpXkLd6f7a6tKd2coK;Gonna Get You (Instrumental);2020-11-23;10;2488409 Records DK;https://i.scdn.co/image/ab67616d0000b273bd231a3aa899c7e2509ad57a;0x8Ubh9oYtJtEOSVUkOHTd;Teknodrumos;1 Gonna Get You - Instrumental;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-01;single;4o7KZpXkLd6f7a6tKd2coK;Gonna Get You (Instrumental);2020-11-23;14;2488409 Records DK;https://i.scdn.co/image/ab67616d0000b273bd231a3aa899c7e2509ad57a;0x8Ubh9oYtJtEOSVUkOHTd;Teknodrumos;1 Gonna Get You - Instrumental;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-02;single;4o7KZpXkLd6f7a6tKd2coK;Gonna Get You (Instrumental);2020-11-23;16;2488409 Records DK;https://i.scdn.co/image/ab67616d0000b273bd231a3aa899c7e2509ad57a;0x8Ubh9oYtJtEOSVUkOHTd;Teknodrumos;1 Gonna Get You - Instrumental;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-03;single;4o7KZpXkLd6f7a6tKd2coK;Gonna Get You (Instrumental);2020-11-23;17;2488409 Records DK;https://i.scdn.co/image/ab67616d0000b273bd231a3aa899c7e2509ad57a;0x8Ubh9oYtJtEOSVUkOHTd;Teknodrumos;1 Gonna Get You - Instrumental;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-04;single;4o7KZpXkLd6f7a6tKd2coK;Gonna Get You (Instrumental);2020-11-23;18;2488409 Records DK;https://i.scdn.co/image/ab67616d0000b273bd231a3aa899c7e2509ad57a;0x8Ubh9oYtJtEOSVUkOHTd;Teknodrumos;1 Gonna Get You - Instrumental;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-05;single;4o7KZpXkLd6f7a6tKd2coK;Gonna Get You (Instrumental);2020-11-23;19;2488409 Records DK;https://i.scdn.co/image/ab67616d0000b273bd231a3aa899c7e2509ad57a;0x8Ubh9oYtJtEOSVUkOHTd;Teknodrumos;1 Gonna Get You - Instrumental;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-06;single;4o7KZpXkLd6f7a6tKd2coK;Gonna Get You (Instrumental);2020-11-23;20;2488409 Records DK;https://i.scdn.co/image/ab67616d0000b273bd231a3aa899c7e2509ad57a;0x8Ubh9oYtJtEOSVUkOHTd;Teknodrumos;1 Gonna Get You - Instrumental;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-07;single;4o7KZpXkLd6f7a6tKd2coK;Gonna Get You (Instrumental);2020-11-23;20;2488409 Records DK;https://i.scdn.co/image/ab67616d0000b273bd231a3aa899c7e2509ad57a;0x8Ubh9oYtJtEOSVUkOHTd;Teknodrumos;1 Gonna Get You - Instrumental;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-08;single;4o7KZpXkLd6f7a6tKd2coK;Gonna Get You (Instrumental);2020-11-23;19;2488409 Records DK;https://i.scdn.co/image/ab67616d0000b273bd231a3aa899c7e2509ad57a;0x8Ubh9oYtJtEOSVUkOHTd;Teknodrumos;1 Gonna Get You - Instrumental;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
2020-12-09;single;4o7KZpXkLd6f7a6tKd2coK;Gonna Get You (Instrumental);2020-11-23;19;2488409 Records DK;https://i.scdn.co/image/ab67616d0000b273bd231a3aa899c7e2509ad57a;0x8Ubh9oYtJtEOSVUkOHTd;Teknodrumos;1 Gonna Get You - Instrumental;AD, AE, AL, AR, AT, AU, BA, BE, BG, BH, BO, BR, BY, CA, CH, CL, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JO, JP, KW, KZ, LB, LI, LT, LU, LV, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, OM, PA, PE, PH, PL, PS, PT, PY, QA, RO, RS, RU, SA, SE, SG, SI, SK, SV, TH, TN, TR, TW, UA, US, UY, VN, XK, ZA
