artist_date_extract,artist_id,artist_name,genres,artist_followers,artist_popularity,artist_image,evolution_followers,evolution_popularity,liste_evol_followers,liste_evol_popularity
2020-11-24,003f4bk13c6Q3gAUXv7dGJ,Wiener Philharmoniker,"austrian orchestra, classical, classical performance, orchestra",79913,73,https://i.scdn.co/image/c6c59ecb176f564d2eb588e7cf2d61d156529dd3,0.0,0.0,[79913],[73]
2020-11-25,003f4bk13c6Q3gAUXv7dGJ,Wiener Philharmoniker,"austrian orchestra, classical, classical performance, orchestra",79850,73,https://i.scdn.co/image/c6c59ecb176f564d2eb588e7cf2d61d156529dd3,-0.08,0.0,"[79850, 79913]","[73, 73]"
2020-11-26,003f4bk13c6Q3gAUXv7dGJ,Wiener Philharmoniker,"austrian orchestra, classical, classical performance, orchestra",79915,73,https://i.scdn.co/image/c6c59ecb176f564d2eb588e7cf2d61d156529dd3,0.0,0.0,"[79915, 79913, 79850]","[73, 73, 73]"
2020-11-27,003f4bk13c6Q3gAUXv7dGJ,Wiener Philharmoniker,"austrian orchestra, classical, classical performance, orchestra",79954,73,https://i.scdn.co/image/c6c59ecb176f564d2eb588e7cf2d61d156529dd3,0.05,0.0,"[79954, 79913, 79850, 79915]","[73, 73, 73, 73]"
2020-11-28,003f4bk13c6Q3gAUXv7dGJ,Wiener Philharmoniker,"austrian orchestra, classical, classical performance, orchestra",79971,73,https://i.scdn.co/image/c6c59ecb176f564d2eb588e7cf2d61d156529dd3,0.07,0.0,"[79971, 79913, 79850, 79915, 79954]","[73, 73, 73, 73, 73]"
2020-11-29,003f4bk13c6Q3gAUXv7dGJ,Wiener Philharmoniker,"austrian orchestra, classical, classical performance, orchestra",79985,73,https://i.scdn.co/image/c6c59ecb176f564d2eb588e7cf2d61d156529dd3,0.09,0.0,"[79985, 79913, 79850, 79915, 79954, 79971]","[73, 73, 73, 73, 73, 73]"
2020-12-08,003f4bk13c6Q3gAUXv7dGJ,Wiener Philharmoniker,"austrian orchestra, classical, classical performance, orchestra",80604,71,https://i.scdn.co/image/c6c59ecb176f564d2eb588e7cf2d61d156529dd3,0.86,-2.74,"[80604, 79913, 79850, 79915, 79954, 79971, 79985]","[71, 73, 73, 73, 73, 73, 73]"
2020-12-08,00CMSJdbf36zOzKB3z8JrR,Victor Cardenas,,6780,66,https://i.scdn.co/image/d1eaa174d86ed7f81cbf2024e396a16d9133e1c1,0.0,0.0,[6780],[66]
2020-12-08,01DTVE3KmoPogPZaOvMqO8,Sarkodie,"afro dancehall, afropop, azonto, azontobeats, ghanaian hip hop, hiplife",75354,53,https://i.scdn.co/image/829cb269483e1425900f4555dc42ff63c547a5d6,0.0,0.0,[75354],[53]
2020-11-24,01Er12nK5rrnHx8usFPJAs,Derek Fiechter,middle earth,25414,58,https://i.scdn.co/image/82fbcc3b03f31e73de2d6d31b0ee7b23da3152cd,0.0,0.0,[25414],[58]
2020-11-25,01Er12nK5rrnHx8usFPJAs,Derek Fiechter,middle earth,25435,58,https://i.scdn.co/image/82fbcc3b03f31e73de2d6d31b0ee7b23da3152cd,0.08,0.0,"[25435, 25414]","[58, 58]"
2020-11-26,01Er12nK5rrnHx8usFPJAs,Derek Fiechter,middle earth,25453,58,https://i.scdn.co/image/82fbcc3b03f31e73de2d6d31b0ee7b23da3152cd,0.15,0.0,"[25453, 25414, 25435]","[58, 58, 58]"
2020-11-27,01Er12nK5rrnHx8usFPJAs,Derek Fiechter,middle earth,25478,58,https://i.scdn.co/image/82fbcc3b03f31e73de2d6d31b0ee7b23da3152cd,0.25,0.0,"[25478, 25414, 25435, 25453]","[58, 58, 58, 58]"
2020-11-28,01Er12nK5rrnHx8usFPJAs,Derek Fiechter,middle earth,25498,58,https://i.scdn.co/image/82fbcc3b03f31e73de2d6d31b0ee7b23da3152cd,0.33,0.0,"[25498, 25414, 25435, 25453, 25478]","[58, 58, 58, 58, 58]"
2020-11-29,01Er12nK5rrnHx8usFPJAs,Derek Fiechter,middle earth,25522,58,https://i.scdn.co/image/82fbcc3b03f31e73de2d6d31b0ee7b23da3152cd,0.42,0.0,"[25522, 25414, 25435, 25453, 25478, 25498]","[58, 58, 58, 58, 58, 58]"
2020-12-08,01Er12nK5rrnHx8usFPJAs,Derek Fiechter,middle earth,25771,56,https://i.scdn.co/image/82fbcc3b03f31e73de2d6d31b0ee7b23da3152cd,1.4,-3.45,"[25771, 25414, 25435, 25453, 25478, 25498, 25522]","[56, 58, 58, 58, 58, 58, 58]"
2020-11-24,01Zk9dhjhxQNqje6GrKJ3d,Prince Dre,"chicago drill, chicago rap, drill",7245,58,https://i.scdn.co/image/1d41c0dc32052b69d812f8e37996740021d2281e,0.0,0.0,[7245],[58]
2020-11-25,01Zk9dhjhxQNqje6GrKJ3d,Prince Dre,"chicago drill, chicago rap, drill",7255,58,https://i.scdn.co/image/1d41c0dc32052b69d812f8e37996740021d2281e,0.14,0.0,"[7255, 7245]","[58, 58]"
2020-11-26,01Zk9dhjhxQNqje6GrKJ3d,Prince Dre,"chicago drill, chicago rap, drill",7274,58,https://i.scdn.co/image/1d41c0dc32052b69d812f8e37996740021d2281e,0.4,0.0,"[7274, 7245, 7255]","[58, 58, 58]"
2020-11-27,01Zk9dhjhxQNqje6GrKJ3d,Prince Dre,"chicago drill, chicago rap, drill",7289,58,https://i.scdn.co/image/1d41c0dc32052b69d812f8e37996740021d2281e,0.61,0.0,"[7289, 7245, 7255, 7274]","[58, 58, 58, 58]"
2020-11-28,01Zk9dhjhxQNqje6GrKJ3d,Prince Dre,"chicago drill, chicago rap, drill",7305,58,https://i.scdn.co/image/1d41c0dc32052b69d812f8e37996740021d2281e,0.83,0.0,"[7305, 7245, 7255, 7274, 7289]","[58, 58, 58, 58, 58]"
2020-11-29,01Zk9dhjhxQNqje6GrKJ3d,Prince Dre,"chicago drill, chicago rap, drill",7314,58,https://i.scdn.co/image/1d41c0dc32052b69d812f8e37996740021d2281e,0.95,0.0,"[7314, 7245, 7255, 7274, 7289, 7305]","[58, 58, 58, 58, 58, 58]"
2020-12-08,01Zk9dhjhxQNqje6GrKJ3d,Prince Dre,"chicago drill, chicago rap, drill",7488,55,https://i.scdn.co/image/1d41c0dc32052b69d812f8e37996740021d2281e,3.35,-5.17,"[7488, 7245, 7255, 7274, 7289, 7305, 7314]","[55, 58, 58, 58, 58, 58, 58]"
2020-11-24,01a832TvB2gm3DTfiZolEd,D Brax,,95,3,https://i.scdn.co/image/ab67616d0000b2738fa22ff529f218731c514dde,0.0,0.0,[95],[3]
2020-11-25,01a832TvB2gm3DTfiZolEd,D Brax,,95,3,https://i.scdn.co/image/ab67616d0000b2738fa22ff529f218731c514dde,0.0,0.0,"[95, 95]","[3, 3]"
2020-11-26,01a832TvB2gm3DTfiZolEd,D Brax,,95,2,https://i.scdn.co/image/ab67616d0000b2738fa22ff529f218731c514dde,0.0,-33.33,"[95, 95, 95]","[2, 3, 3]"
2020-11-27,01a832TvB2gm3DTfiZolEd,D Brax,,95,2,https://i.scdn.co/image/ab67616d0000b2738fa22ff529f218731c514dde,0.0,-33.33,"[95, 95, 95, 95]","[2, 3, 3, 2]"
2020-11-28,01a832TvB2gm3DTfiZolEd,D Brax,,95,2,https://i.scdn.co/image/ab67616d0000b2738fa22ff529f218731c514dde,0.0,-33.33,"[95, 95, 95, 95, 95]","[2, 3, 3, 2, 2]"
2020-11-29,01a832TvB2gm3DTfiZolEd,D Brax,,95,2,https://i.scdn.co/image/ab67616d0000b2738fa22ff529f218731c514dde,0.0,-33.33,"[95, 95, 95, 95, 95, 95]","[2, 3, 3, 2, 2, 2]"
2020-12-08,01a832TvB2gm3DTfiZolEd,D Brax,,185,9,https://i.scdn.co/image/ab67616d0000b273eda6f80b0bd76e1e3a4e6ac1,94.74,200.0,"[185, 95, 95, 95, 95, 95, 95]","[9, 3, 3, 2, 2, 2, 2]"
2020-12-08,01brs471Oes6kMnkVJBfGG,La Zenda Norteña,"corrido, norteno-sax, nuevo regional mexicano, regional mexican, tejano",296633,59,https://i.scdn.co/image/66f4f742cff1dfe082af4223d5ac88e9dbce5352,0.0,0.0,[296633],[59]
2020-12-08,01y8iBZYk8aeNfPsuTVrAt,Sody,"indie anthem-folk, indie cafe pop, pop, uk pop",61825,63,https://i.scdn.co/image/1cceb199ada480e383c7bfd0d60817ccf19f9c38,0.0,0.0,[61825],[63]
2020-12-08,028lPW2NdWHdSPCkRkcyhd,Ant Clemons,"alternative r&b, indie r&b",16264,60,https://i.scdn.co/image/678d349f171a51f19c1d2aeb292e3eaeee32cd59,0.0,0.0,[16264],[60]
2020-11-24,02YFwGQvc8ELtBL9c2JtMZ,Weiland,"glitchcore, vapor trap",7770,47,https://i.scdn.co/image/6765c84c75b4d94ec663244de7023a232454ef4b,0.0,0.0,[7770],[47]
2020-11-25,02YFwGQvc8ELtBL9c2JtMZ,Weiland,"glitchcore, vapor trap",7831,48,https://i.scdn.co/image/6765c84c75b4d94ec663244de7023a232454ef4b,0.79,2.13,"[7831, 7770]","[48, 47]"
2020-11-26,02YFwGQvc8ELtBL9c2JtMZ,Weiland,"glitchcore, vapor trap",7876,48,https://i.scdn.co/image/6765c84c75b4d94ec663244de7023a232454ef4b,1.36,2.13,"[7876, 7770, 7831]","[48, 47, 48]"
2020-11-27,02YFwGQvc8ELtBL9c2JtMZ,Weiland,"glitchcore, vapor trap",7924,49,https://i.scdn.co/image/6765c84c75b4d94ec663244de7023a232454ef4b,1.98,4.26,"[7924, 7770, 7831, 7876]","[49, 47, 48, 48]"
2020-11-28,02YFwGQvc8ELtBL9c2JtMZ,Weiland,"glitchcore, vapor trap",7970,49,https://i.scdn.co/image/6765c84c75b4d94ec663244de7023a232454ef4b,2.57,4.26,"[7970, 7770, 7831, 7876, 7924]","[49, 47, 48, 48, 49]"
2020-11-29,02YFwGQvc8ELtBL9c2JtMZ,Weiland,"glitchcore, vapor trap",7998,49,https://i.scdn.co/image/6765c84c75b4d94ec663244de7023a232454ef4b,2.93,4.26,"[7998, 7770, 7831, 7876, 7924, 7970]","[49, 47, 48, 48, 49, 49]"
2020-12-08,02YFwGQvc8ELtBL9c2JtMZ,Weiland,"glitchcore, vapor trap",8333,47,https://i.scdn.co/image/6765c84c75b4d94ec663244de7023a232454ef4b,7.25,0.0,"[8333, 7770, 7831, 7876, 7924, 7970, 7998]","[47, 47, 48, 48, 49, 49, 49]"
2020-12-08,02qHcQfJCm2XlAnaJ5a6Rh,2Scratch,"bass trap, traprun",93736,66,https://i.scdn.co/image/9a461c559235a78c6504a375532092f17c2b956e,0.0,0.0,[93736],[66]
2020-11-24,03EYBMnqSchCMp5D9qmFXi,Stacey Kent,"adult standards, contemporary vocal jazz, lounge, vocal jazz",193268,64,https://i.scdn.co/image/04aceedd37488e222c213e3d67c0c8c615a4cac6,0.0,0.0,[193268],[64]
2020-11-25,03EYBMnqSchCMp5D9qmFXi,Stacey Kent,"adult standards, contemporary vocal jazz, lounge, vocal jazz",193363,64,https://i.scdn.co/image/04aceedd37488e222c213e3d67c0c8c615a4cac6,0.05,0.0,"[193363, 193268]","[64, 64]"
2020-11-26,03EYBMnqSchCMp5D9qmFXi,Stacey Kent,"adult standards, contemporary vocal jazz, lounge, vocal jazz",193461,64,https://i.scdn.co/image/04aceedd37488e222c213e3d67c0c8c615a4cac6,0.1,0.0,"[193461, 193268, 193363]","[64, 64, 64]"
2020-11-27,03EYBMnqSchCMp5D9qmFXi,Stacey Kent,"adult standards, contemporary vocal jazz, lounge, vocal jazz",193564,64,https://i.scdn.co/image/04aceedd37488e222c213e3d67c0c8c615a4cac6,0.15,0.0,"[193564, 193268, 193363, 193461]","[64, 64, 64, 64]"
2020-11-28,03EYBMnqSchCMp5D9qmFXi,Stacey Kent,"adult standards, contemporary vocal jazz, lounge, vocal jazz",193659,64,https://i.scdn.co/image/04aceedd37488e222c213e3d67c0c8c615a4cac6,0.2,0.0,"[193659, 193268, 193363, 193461, 193564]","[64, 64, 64, 64, 64]"
2020-11-29,03EYBMnqSchCMp5D9qmFXi,Stacey Kent,"adult standards, contemporary vocal jazz, lounge, vocal jazz",193721,64,https://i.scdn.co/image/04aceedd37488e222c213e3d67c0c8c615a4cac6,0.23,0.0,"[193721, 193268, 193363, 193461, 193564, 193659]","[64, 64, 64, 64, 64, 64]"
2020-12-08,03EYBMnqSchCMp5D9qmFXi,Stacey Kent,"adult standards, contemporary vocal jazz, lounge, vocal jazz",194664,62,https://i.scdn.co/image/04aceedd37488e222c213e3d67c0c8c615a4cac6,0.72,-3.12,"[194664, 193268, 193363, 193461, 193564, 193659, 193721]","[62, 64, 64, 64, 64, 64, 64]"
2020-12-08,03fLoIOO015incUitpfkad,Michele Morrone,,276652,65,https://i.scdn.co/image/501637df28d528eedccc3845c47eddd6c3034767,0.0,0.0,[276652],[65]
2020-12-08,03qM4LmPCrR7CuHTE0WAIW,Koryn Hawthorne,"gospel, gospel r&b",80871,55,https://i.scdn.co/image/977181d46d826d2e3d17b05683ef2792f5cf851c,0.0,0.0,[80871],[55]
2020-12-08,041iTeoMIwXMlShuQPIVKo,Klangkarussell,"austrian pop, deep house, new french touch, tropical house",314389,65,https://i.scdn.co/image/caadb8d7c79e05b2d9551fbe1333e592643da4e4,0.0,0.0,[314389],[65]
2020-12-08,042mLfOBpH8OoX8A6sUYhf,GHOST DATA,"dark clubbing, future bass, future funk",61305,55,https://i.scdn.co/image/fa1ed4ba2364c145d80716799755c99ca365b109,0.0,0.0,[61305],[55]
2020-12-08,047D9GgqEzyMoULd2oKr7G,Alexander O'Neal,"disco, funk, minneapolis sound, new jack swing, post-disco, quiet storm, soul, urban contemporary",213866,52,https://i.scdn.co/image/9037cc1484a61228048ae926550b68e012a5674d,0.0,0.0,[213866],[52]
2020-12-08,04LIHk1SobiQwt2tlupoAV,Leo Sayer,"adult standards, brill building pop, bubblegum pop, classic uk pop, disco, folk, folk rock, mellow gold, soft rock",298811,59,https://i.scdn.co/image/c333c27d183f22db36875a7b17c7f6d8748578ec,0.0,0.0,[298811],[59]
2020-12-08,04Vb4grEoWM6okLzVeOlq3,Izenzaren Abdelhadi,,535,4,https://i.scdn.co/image/ab67616d0000b273dac112dd7a60fe136fcfb49f,0.0,0.0,[535],[4]
2020-12-08,04VwrPirvx6CXRzbEjofQP,Refeeld,lo-fi beats,1225,60,https://i.scdn.co/image/8b553281e8579352ba1c80ce4d890c53a0ed1c85,0.0,0.0,[1225],[60]
2020-11-24,04ei5kNgmDuNAydFhhIHnD,Landon Cube,"emo rap, sad rap, underground hip hop, vapor trap",270618,70,https://i.scdn.co/image/c03897946ac8d2e827acde245d64c18dad37155d,0.0,0.0,[270618],[70]
2020-11-25,04ei5kNgmDuNAydFhhIHnD,Landon Cube,"emo rap, sad rap, underground hip hop, vapor trap",270823,70,https://i.scdn.co/image/c03897946ac8d2e827acde245d64c18dad37155d,0.08,0.0,"[270823, 270618]","[70, 70]"
2020-11-26,04ei5kNgmDuNAydFhhIHnD,Landon Cube,"emo rap, sad rap, underground hip hop, vapor trap",271040,70,https://i.scdn.co/image/c03897946ac8d2e827acde245d64c18dad37155d,0.16,0.0,"[271040, 270618, 270823]","[70, 70, 70]"
2020-11-27,04ei5kNgmDuNAydFhhIHnD,Landon Cube,"emo rap, sad rap, underground hip hop, vapor trap",271254,70,https://i.scdn.co/image/c03897946ac8d2e827acde245d64c18dad37155d,0.24,0.0,"[271254, 270618, 270823, 271040]","[70, 70, 70, 70]"
2020-11-28,04ei5kNgmDuNAydFhhIHnD,Landon Cube,"emo rap, sad rap, underground hip hop, vapor trap",271425,70,https://i.scdn.co/image/c03897946ac8d2e827acde245d64c18dad37155d,0.3,0.0,"[271425, 270618, 270823, 271040, 271254]","[70, 70, 70, 70, 70]"
2020-11-29,04ei5kNgmDuNAydFhhIHnD,Landon Cube,"emo rap, sad rap, underground hip hop, vapor trap",271586,70,https://i.scdn.co/image/c03897946ac8d2e827acde245d64c18dad37155d,0.36,0.0,"[271586, 270618, 270823, 271040, 271254, 271425]","[70, 70, 70, 70, 70, 70]"
2020-12-08,04ei5kNgmDuNAydFhhIHnD,Landon Cube,"emo rap, sad rap, underground hip hop, vapor trap",274883,68,https://i.scdn.co/image/b81a15425285f3b43b0c32b7cd3e4b2eb83e9b60,1.58,-2.86,"[274883, 270618, 270823, 271040, 271254, 271425, 271586]","[68, 70, 70, 70, 70, 70, 70]"
2020-12-08,04m3oUGzjO3EJTQidFzTgM,Nora Van Elken,"deep house, deep tropical house, new french touch, pop dance, pop edm, tropical house",26299,62,https://i.scdn.co/image/b326443699c1c51b5f7bb828b0fcdb87624bf3c4,0.0,0.0,[26299],[62]
2020-11-24,063Vp9es6lLAbFUDtIAkFD,Abraham Vazquez,"corrido, corridos tumbados, nuevo regional mexicano, regional mexican, sierreno",355516,66,https://i.scdn.co/image/f5203d1fac3deefcc6f81ecbef358a4fc6b6e0ce,0.0,0.0,[355516],[66]
2020-11-25,063Vp9es6lLAbFUDtIAkFD,Abraham Vazquez,"corrido, corridos tumbados, nuevo regional mexicano, regional mexican, sierreno",356061,66,https://i.scdn.co/image/f5203d1fac3deefcc6f81ecbef358a4fc6b6e0ce,0.15,0.0,"[356061, 355516]","[66, 66]"
2020-11-26,063Vp9es6lLAbFUDtIAkFD,Abraham Vazquez,"corrido, corridos tumbados, nuevo regional mexicano, regional mexican, sierreno",356596,66,https://i.scdn.co/image/f5203d1fac3deefcc6f81ecbef358a4fc6b6e0ce,0.3,0.0,"[356596, 355516, 356061]","[66, 66, 66]"
2020-11-27,063Vp9es6lLAbFUDtIAkFD,Abraham Vazquez,"corrido, corridos tumbados, nuevo regional mexicano, regional mexican, sierreno",357157,66,https://i.scdn.co/image/f5203d1fac3deefcc6f81ecbef358a4fc6b6e0ce,0.46,0.0,"[357157, 355516, 356061, 356596]","[66, 66, 66, 66]"
2020-11-28,063Vp9es6lLAbFUDtIAkFD,Abraham Vazquez,"corrido, corridos tumbados, nuevo regional mexicano, regional mexican, sierreno",357722,66,https://i.scdn.co/image/f5203d1fac3deefcc6f81ecbef358a4fc6b6e0ce,0.62,0.0,"[357722, 355516, 356061, 356596, 357157]","[66, 66, 66, 66, 66]"
2020-11-29,063Vp9es6lLAbFUDtIAkFD,Abraham Vazquez,"corrido, corridos tumbados, nuevo regional mexicano, regional mexican, sierreno",358389,66,https://i.scdn.co/image/f5203d1fac3deefcc6f81ecbef358a4fc6b6e0ce,0.81,0.0,"[358389, 355516, 356061, 356596, 357157, 357722]","[66, 66, 66, 66, 66, 66]"
2020-12-08,063Vp9es6lLAbFUDtIAkFD,Abraham Vazquez,"corrido, corridos tumbados, nuevo regional mexicano, regional mexican, sierreno",362881,64,https://i.scdn.co/image/f5203d1fac3deefcc6f81ecbef358a4fc6b6e0ce,2.07,-3.03,"[362881, 355516, 356061, 356596, 357157, 357722, 358389]","[64, 66, 66, 66, 66, 66, 66]"
2020-11-24,06nevPmNVfWUXyZkccahL8,Gregory Porter,"contemporary vocal jazz, jazz pop, neo soul, vocal jazz",428898,68,https://i.scdn.co/image/157c5ac9133097d16e89b6fdf9cf9f346941f2db,0.0,0.0,[428898],[68]
2020-11-25,06nevPmNVfWUXyZkccahL8,Gregory Porter,"contemporary vocal jazz, jazz pop, neo soul, vocal jazz",429079,68,https://i.scdn.co/image/157c5ac9133097d16e89b6fdf9cf9f346941f2db,0.04,0.0,"[429079, 428898]","[68, 68]"
2020-11-26,06nevPmNVfWUXyZkccahL8,Gregory Porter,"contemporary vocal jazz, jazz pop, neo soul, vocal jazz",429289,68,https://i.scdn.co/image/157c5ac9133097d16e89b6fdf9cf9f346941f2db,0.09,0.0,"[429289, 428898, 429079]","[68, 68, 68]"
2020-11-27,06nevPmNVfWUXyZkccahL8,Gregory Porter,"contemporary vocal jazz, jazz pop, neo soul, vocal jazz",429533,68,https://i.scdn.co/image/157c5ac9133097d16e89b6fdf9cf9f346941f2db,0.15,0.0,"[429533, 428898, 429079, 429289]","[68, 68, 68, 68]"
2020-11-28,06nevPmNVfWUXyZkccahL8,Gregory Porter,"contemporary vocal jazz, jazz pop, neo soul, vocal jazz",429764,68,https://i.scdn.co/image/157c5ac9133097d16e89b6fdf9cf9f346941f2db,0.2,0.0,"[429764, 428898, 429079, 429289, 429533]","[68, 68, 68, 68, 68]"
2020-11-29,06nevPmNVfWUXyZkccahL8,Gregory Porter,"contemporary vocal jazz, jazz pop, neo soul, vocal jazz",430012,68,https://i.scdn.co/image/157c5ac9133097d16e89b6fdf9cf9f346941f2db,0.26,0.0,"[430012, 428898, 429079, 429289, 429533, 429764]","[68, 68, 68, 68, 68, 68]"
2020-12-08,06nevPmNVfWUXyZkccahL8,Gregory Porter,"contemporary vocal jazz, jazz pop, neo soul, vocal jazz",432227,66,https://i.scdn.co/image/157c5ac9133097d16e89b6fdf9cf9f346941f2db,0.78,-2.94,"[432227, 428898, 429079, 429289, 429533, 429764, 430012]","[66, 68, 68, 68, 68, 68, 68]"
2020-12-08,07W0YfsvHM7Mw7Bq48Mb0A,Murphy Lee,"dirty south rap, pop rap, southern hip hop, st louis rap",115122,58,https://i.scdn.co/image/623759bc8105e6e5550e5b24ac82156526e74493,0.0,0.0,[115122],[58]
2020-11-24,07vycW8ICLf5hKb22PFWXw,Marcin Przybyłowicz,"scorecore, video game music",42465,64,https://i.scdn.co/image/17a4cbd857bb8d8d7e9cfc14897b7799e7858465,0.0,0.0,[42465],[64]
2020-11-25,07vycW8ICLf5hKb22PFWXw,Marcin Przybyłowicz,"scorecore, video game music",42538,64,https://i.scdn.co/image/17a4cbd857bb8d8d7e9cfc14897b7799e7858465,0.17,0.0,"[42538, 42465]","[64, 64]"
2020-11-26,07vycW8ICLf5hKb22PFWXw,Marcin Przybyłowicz,"scorecore, video game music",42593,64,https://i.scdn.co/image/17a4cbd857bb8d8d7e9cfc14897b7799e7858465,0.3,0.0,"[42593, 42465, 42538]","[64, 64, 64]"
2020-11-27,07vycW8ICLf5hKb22PFWXw,Marcin Przybyłowicz,"scorecore, video game music",42642,64,https://i.scdn.co/image/17a4cbd857bb8d8d7e9cfc14897b7799e7858465,0.42,0.0,"[42642, 42465, 42538, 42593]","[64, 64, 64, 64]"
2020-11-28,07vycW8ICLf5hKb22PFWXw,Marcin Przybyłowicz,"scorecore, video game music",42690,64,https://i.scdn.co/image/17a4cbd857bb8d8d7e9cfc14897b7799e7858465,0.53,0.0,"[42690, 42465, 42538, 42593, 42642]","[64, 64, 64, 64, 64]"
2020-11-29,07vycW8ICLf5hKb22PFWXw,Marcin Przybyłowicz,"scorecore, video game music",42734,64,https://i.scdn.co/image/17a4cbd857bb8d8d7e9cfc14897b7799e7858465,0.63,0.0,"[42734, 42465, 42538, 42593, 42642, 42690]","[64, 64, 64, 64, 64, 64]"
2020-12-08,07vycW8ICLf5hKb22PFWXw,Marcin Przybyłowicz,"scorecore, video game music",43326,62,https://i.scdn.co/image/17a4cbd857bb8d8d7e9cfc14897b7799e7858465,2.03,-3.12,"[43326, 42465, 42538, 42593, 42642, 42690, 42734]","[62, 64, 64, 64, 64, 64, 64]"
2020-12-08,099toTcKJoywTosZr2hHjy,Langhorne Slim,"anti-folk, deep new americana, indie folk, modern folk rock, new americana, stomp and holler",130364,57,https://i.scdn.co/image/6174f28772e6c39b486c81ca83d998a84177561b,0.0,0.0,[130364],[57]
2020-12-08,09Z3wZ88af1pfyJxziESQF,Nick Wilson,"indie anthem-folk, indie cafe pop, indiecoustica",26470,55,https://i.scdn.co/image/f0097d738ba2c544a9b12203b14f09af19f2c620,0.0,0.0,[26470],[55]
2020-12-08,09agIJMxCD2k87ys9Al0f0,VIZE,"german dance, pop dance, tropical house",73689,80,https://i.scdn.co/image/6f0b2296a8a1311899ef1b00f8dbd06855f4a13e,0.0,0.0,[73689],[80]
2020-12-08,09kCHZp9iFO2FJNb9lR6G5,Megan Davies,viral pop,117680,61,https://i.scdn.co/image/b14787bfb33759a13a109836da1aadf80c2a0144,0.0,0.0,[117680],[61]
2020-11-24,0A7g2YbCA9FlyZvAG6VmKP,The LOX,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, hip pop, pop rap, rap, southern hip hop",303603,59,https://i.scdn.co/image/7df2c901fe49b1c69b62da7659106b649c803b76,0.0,0.0,[303603],[59]
2020-11-25,0A7g2YbCA9FlyZvAG6VmKP,The LOX,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, hip pop, pop rap, rap, southern hip hop",303787,59,https://i.scdn.co/image/7df2c901fe49b1c69b62da7659106b649c803b76,0.06,0.0,"[303787, 303603]","[59, 59]"
2020-11-26,0A7g2YbCA9FlyZvAG6VmKP,The LOX,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, hip pop, pop rap, rap, southern hip hop",303996,59,https://i.scdn.co/image/7df2c901fe49b1c69b62da7659106b649c803b76,0.13,0.0,"[303996, 303603, 303787]","[59, 59, 59]"
2020-11-27,0A7g2YbCA9FlyZvAG6VmKP,The LOX,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, hip pop, pop rap, rap, southern hip hop, trap",304226,59,https://i.scdn.co/image/7df2c901fe49b1c69b62da7659106b649c803b76,0.21,0.0,"[304226, 303603, 303787, 303996]","[59, 59, 59, 59]"
2020-11-28,0A7g2YbCA9FlyZvAG6VmKP,The LOX,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, hip pop, pop rap, rap, southern hip hop, trap",304424,59,https://i.scdn.co/image/7df2c901fe49b1c69b62da7659106b649c803b76,0.27,0.0,"[304424, 303603, 303787, 303996, 304226]","[59, 59, 59, 59, 59]"
2020-11-29,0A7g2YbCA9FlyZvAG6VmKP,The LOX,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, hip pop, pop rap, rap, southern hip hop, trap",304640,59,https://i.scdn.co/image/7df2c901fe49b1c69b62da7659106b649c803b76,0.34,0.0,"[304640, 303603, 303787, 303996, 304226, 304424]","[59, 59, 59, 59, 59, 59]"
2020-12-08,0A7g2YbCA9FlyZvAG6VmKP,The LOX,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, hip pop, pop rap, rap, southern hip hop",307148,57,https://i.scdn.co/image/7df2c901fe49b1c69b62da7659106b649c803b76,1.17,-3.39,"[307148, 303603, 303787, 303996, 304226, 304424, 304640]","[57, 59, 59, 59, 59, 59, 59]"
2020-12-08,0AZDN2uPLl5eE91pbKZaAW,Daaguchii,,35,8,https://i.scdn.co/image/edde35ba47707cc103bb9efe6fb075df4dc05723,0.0,0.0,[35],[8]
2020-11-24,0AdjzZxHJ4MfbImx2rD0Df,Pj Sin Suela,reggae en espanol,40172,67,https://i.scdn.co/image/cc5f9ac1b003f063d21c97485b3982d0ea1942c5,0.0,0.0,[40172],[67]
2020-11-25,0AdjzZxHJ4MfbImx2rD0Df,Pj Sin Suela,reggae en espanol,40202,67,https://i.scdn.co/image/cc5f9ac1b003f063d21c97485b3982d0ea1942c5,0.07,0.0,"[40202, 40172]","[67, 67]"
2020-11-26,0AdjzZxHJ4MfbImx2rD0Df,Pj Sin Suela,reggae en espanol,40225,67,https://i.scdn.co/image/cc5f9ac1b003f063d21c97485b3982d0ea1942c5,0.13,0.0,"[40225, 40172, 40202]","[67, 67, 67]"
2020-11-27,0AdjzZxHJ4MfbImx2rD0Df,Pj Sin Suela,reggae en espanol,40251,67,https://i.scdn.co/image/cc5f9ac1b003f063d21c97485b3982d0ea1942c5,0.2,0.0,"[40251, 40172, 40202, 40225]","[67, 67, 67, 67]"
2020-11-28,0AdjzZxHJ4MfbImx2rD0Df,Pj Sin Suela,reggae en espanol,40291,67,https://i.scdn.co/image/cc5f9ac1b003f063d21c97485b3982d0ea1942c5,0.3,0.0,"[40291, 40172, 40202, 40225, 40251]","[67, 67, 67, 67, 67]"
